case,method,K,err_rel
CS2,MOL,30,0.21228289604692716
CS2,Hybrid,30,0.06726943869726391
CS2,MOL,60,0.12602193379935445
CS2,Hybrid,60,0.03651885412131333
CS2,MOL,120,0.07125608986441641
CS2,Hybrid,120,0.020229959112235792
CS2,MOL,240,0.0388746795709586
CS2,Hybrid,240,0.01117472370774787
CSA1,MOL,30,0.4807570572950777
CSA1,Hybrid,30,0.1162489721551577
CSA1,MOL,60,0.32991548957552197
CSA1,Hybrid,60,0.06495476567290491
CSA1,MOL,120,0.20763885621768363
CSA1,Hybrid,120,0.03476612706991256
CSA1,MOL,240,0.12420898983655067
CSA1,Hybrid,240,0.01794890809999587
